Alabama,704
Alaska,115
Arizona,872
Arkansas,448
California,4090
Colorado,736
Connecticut,422
Delaware,112
District of Columbia,80
Florida,2150
Georgia,1167
Hawaii,167
Idaho,227
Illinois,1809
Indiana,919
Iowa,555
Kansas,503
Kentucky,644
Louisiana,633
Maine,222
Maryland,722
Massachusetts,848
Michigan,1471
Minnesota,829
Mississippi,459
Missouri,881
Montana,203
Nebraska,374
Nevada,279
New Hampshire,176
New Jersey,1035
New Mexico,307
New York,2541
North Carolina,1198
North Dakota,164
Ohio,1662
Oklahoma,637
Oregon,581
Pennsylvania,1702
Puerto Rico,467
Rhode Island,117
South Carolina,621
South Dakota,177
Tennessee,805
Texas,2994
Utah,331
Vermont,108
Virginia,1028
Washington,919
West Virginia,280
Wisconsin,852
Wyoming,99
